timestamp_jst,timeframe,symbol,broker,server_gmt_offset,close,ma20,ma50,ma200,rsi14,macd_main,macd_signal,atr14,volume,d_open,d_high,d_low,d_close,w_pp,w_r1,w_s1,w_r2,w_s2,notes
2025-11-08T07:00:00+09:00,H1,SILVER#,XMTrading,+3,48.38500,48.45850,48.31762,48.05669,50.21,0.01524,0.05816,0.29143,5338,47.99200,48.86400,47.89700,48.32100,47.85233,50.15967,46.35467,51.65733,44.04733,""
2025-11-08T08:00:00+09:00,H1,SILVER#,XMTrading,+3,48.32100,48.46860,48.32252,48.06437,47.78,0.00795,0.04388,0.28721,1269,48.32600,48.34800,48.25000,48.30700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T10:00:00+09:00,H1,SILVER#,XMTrading,+3,48.58100,48.46550,48.32536,48.07273,56.90,0.02290,0.03334,0.29621,3294,48.32600,48.59300,48.25000,48.58100,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T11:00:00+09:00,H1,SILVER#,XMTrading,+3,48.52700,48.48045,48.33366,48.08238,54.76,0.03003,0.02651,0.29357,3670,48.32600,48.60700,48.25000,48.52300,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T12:00:00+09:00,H1,SILVER#,XMTrading,+3,48.95700,48.49320,48.33972,48.09194,65.79,0.06959,0.02759,0.33921,10475,48.32600,49.28300,48.25000,48.95900,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T13:00:00+09:00,H1,SILVER#,XMTrading,+3,49.01300,48.51815,48.35652,48.10461,66.92,0.10425,0.03444,0.33264,6917,48.32600,49.28300,48.25000,49.01100,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T14:00:00+09:00,H1,SILVER#,XMTrading,+3,49.09700,48.54750,48.37678,48.12136,68.60,0.13692,0.04681,0.31943,4411,48.32600,49.28300,48.25000,49.09800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T15:00:00+09:00,H1,SILVER#,XMTrading,+3,49.21400,48.56840,48.39858,48.13700,70.82,0.17029,0.06388,0.30793,2870,48.32600,49.28300,48.25000,49.23300,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T16:00:00+09:00,H1,SILVER#,XMTrading,+3,49.46000,48.59525,48.42074,48.15189,74.84,0.21412,0.08570,0.29857,5505,48.32600,49.49600,48.25000,49.45900,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T17:00:00+09:00,H1,SILVER#,XMTrading,+3,49.53700,48.62860,48.45390,48.16697,75.96,0.25216,0.11202,0.29021,5821,48.32600,49.57000,48.25000,49.53200,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T18:00:00+09:00,H1,SILVER#,XMTrading,+3,49.64100,48.66810,48.48532,48.18258,77.42,0.28738,0.14307,0.27036,5128,48.32600,49.81000,48.25000,49.64300,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T19:00:00+09:00,H1,SILVER#,XMTrading,+3,49.93000,48.70975,48.51404,48.19625,80.89,0.33476,0.17772,0.26800,7342,48.32600,49.99000,48.25000,49.93600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T20:00:00+09:00,H1,SILVER#,XMTrading,+3,49.82000,48.77310,48.54756,48.21113,76.10,0.35929,0.21431,0.28014,5516,48.32600,49.99000,48.25000,49.82800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T21:00:00+09:00,H1,SILVER#,XMTrading,+3,49.92200,48.83820,48.57764,48.22474,77.43,0.38255,0.24908,0.27800,4277,48.32600,49.99000,48.25000,49.92700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T22:00:00+09:00,H1,SILVER#,XMTrading,+3,49.95800,48.91175,48.60912,48.23888,77.90,0.39929,0.28186,0.27079,4209,48.32600,49.99000,48.25000,49.93800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T23:00:00+09:00,H1,SILVER#,XMTrading,+3,50.09900,48.99350,48.63930,48.25290,79.68,0.41910,0.31321,0.27879,4777,48.32600,50.13000,48.25000,50.09500,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T00:00:00+09:00,H1,SILVER#,XMTrading,+3,49.86400,49.08860,48.66604,48.26803,69.61,0.41110,0.33997,0.28186,9657,48.32600,50.19600,48.25000,49.86600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T01:00:00+09:00,H1,SILVER#,XMTrading,+3,49.96300,49.16680,48.69054,48.28198,71.26,0.40804,0.36152,0.30236,10559,48.32600,50.19600,48.25000,49.96700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T02:00:00+09:00,H1,SILVER#,XMTrading,+3,49.87400,49.25180,48.71640,48.29656,67.70,0.39389,0.37727,0.26657,8713,48.32600,50.19600,48.25000,49.86600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T03:00:00+09:00,H1,SILVER#,XMTrading,+3,50.09900,49.32945,48.74008,48.31147,71.56,0.39627,0.38937,0.26236,6830,48.32600,50.19600,48.25000,50.10400,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T04:00:00+09:00,H1,SILVER#,XMTrading,+3,50.31900,49.41310,48.77154,48.32623,74.75,0.41117,0.39786,0.26257,5516,48.32600,50.31900,48.25000,50.31500,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T05:00:00+09:00,H1,SILVER#,XMTrading,+3,50.42800,49.50980,48.80786,48.34124,76.17,0.42685,0.40536,0.26514,4763,48.32600,50.44100,48.25000,50.43700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T06:00:00+09:00,H1,SILVER#,XMTrading,+3,50.52900,49.61515,48.85352,48.35547,77.44,0.44233,0.41200,0.25121,3482,48.32600,50.54700,48.25000,50.53100,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T07:00:00+09:00,H1,SILVER#,XMTrading,+3,50.48300,49.71255,48.90650,48.37087,75.47,0.44575,0.41717,0.24886,3536,48.32600,50.54800,48.25000,50.49100,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T08:00:00+09:00,H1,SILVER#,XMTrading,+3,50.49600,49.81035,48.95698,48.38590,75.65,0.44438,0.41997,0.23607,1198,50.41200,50.42800,50.41200,50.42800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T10:00:00+09:00,H1,SILVER#,XMTrading,+3,50.49100,49.88730,49.00544,48.40137,75.41,0.43785,0.42295,0.22657,2003,50.41200,50.60800,50.39200,50.49500,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T11:00:00+09:00,H1,SILVER#,XMTrading,+3,50.73700,49.96120,49.05214,48.41630,78.95,0.44736,0.42732,0.22764,3325,50.41200,50.74600,50.39200,50.71800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T12:00:00+09:00,H1,SILVER#,XMTrading,+3,50.65600,50.04320,49.10322,48.43129,75.12,0.44326,0.43280,0.23900,8654,50.41200,50.85900,50.39200,50.65600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T13:00:00+09:00,H1,SILVER#,XMTrading,+3,50.65300,50.11530,49.15600,48.44421,74.97,0.43475,0.43708,0.24407,6033,50.41200,50.85900,50.39200,50.64600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T14:00:00+09:00,H1,SILVER#,XMTrading,+3,50.97600,50.17495,49.20878,48.45590,79.56,0.44890,0.44127,0.25329,3840,50.41200,50.98100,50.39200,50.97900,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T15:00:00+09:00,H1,SILVER#,XMTrading,+3,50.97000,50.24690,49.26400,48.46932,79.27,0.45439,0.44433,0.24157,3156,50.41200,51.12900,50.39200,50.95900,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T16:00:00+09:00,H1,SILVER#,XMTrading,+3,50.79000,50.31335,49.31974,48.48332,70.91,0.43915,0.44398,0.23707,6520,50.41200,51.12900,50.39200,50.78500,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T17:00:00+09:00,H1,SILVER#,XMTrading,+3,50.70500,50.35635,49.36788,48.49648,67.30,0.41543,0.44061,0.23543,5880,50.41200,51.12900,50.39200,50.71400,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T18:00:00+09:00,H1,SILVER#,XMTrading,+3,50.63500,50.40060,49.41634,48.50829,64.39,0.38653,0.43418,0.23321,4845,50.41200,51.12900,50.39200,50.64700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T19:00:00+09:00,H1,SILVER#,XMTrading,+3,50.68200,50.43625,49.46360,48.52068,65.47,0.36322,0.42589,0.23057,5827,50.41200,51.12900,50.39200,50.67600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T20:00:00+09:00,H1,SILVER#,XMTrading,+3,50.92800,50.47245,49.50808,48.53295,70.50,0.36045,0.41623,0.24279,3985,50.41200,51.12900,50.39200,50.92400,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T21:00:00+09:00,H1,SILVER#,XMTrading,+3,50.94700,50.51390,49.55812,48.54686,70.86,0.35569,0.40650,0.24607,3409,50.41200,51.12900,50.39200,50.95400,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T22:00:00+09:00,H1,SILVER#,XMTrading,+3,51.16600,50.56805,49.60348,48.56109,74.63,0.36537,0.39879,0.25379,3734,50.41200,51.18900,50.39200,51.17500,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T23:00:00+09:00,H1,SILVER#,XMTrading,+3,50.92100,50.62820,49.65326,48.57678,64.56,0.34925,0.38772,0.26700,4930,50.41200,51.22700,50.39200,50.91600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-12T00:00:00+09:00,H1,SILVER#,XMTrading,+3,51.14200,50.68055,49.69582,48.59283,68.67,0.35027,0.37615,0.27500,7081,50.41200,51.22700,50.39200,51.13500,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-12T01:00:00+09:00,H1,SILVER#,XMTrading,+3,50.81300,50.73270,49.74372,48.61019,57.91,0.32084,0.36301,0.29107,9544,50.41200,51.22700,50.39200,50.78700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-12T02:00:00+09:00,H1,SILVER#,XMTrading,+3,50.45800,50.75740,49.78382,48.62650,48.99,0.26580,0.34638,0.30900,11976,50.41200,51.22700,50.27100,50.45400,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-12T03:00:00+09:00,H1,SILVER#,XMTrading,+3,50.69900,50.75890,49.81972,48.63995,54.15,0.23887,0.32998,0.32236,7661,50.41200,51.22700,50.27100,50.68800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-12T04:00:00+09:00,H1,SILVER#,XMTrading,+3,50.86900,50.76740,49.86334,48.65449,57.42,0.22861,0.31502,0.31493,5579,50.41200,51.22700,50.27100,50.87100,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-12T05:00:00+09:00,H1,SILVER#,XMTrading,+3,51.01100,50.78670,49.91170,48.66981,59.99,0.22930,0.30045,0.31471,4788,50.41200,51.22700,50.27100,51.00700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-12T06:00:00+09:00,H1,SILVER#,XMTrading,+3,51.01100,50.81245,49.96546,48.68661,59.99,0.22723,0.28617,0.30300,3258,50.41200,51.22700,50.27100,51.01300,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-12T07:00:00+09:00,H1,SILVER#,XMTrading,+3,51.20500,50.83845,50.02174,48.70508,63.49,0.23849,0.27207,0.30029,3877,50.41200,51.22700,50.27100,51.20100,48.09133,49.32267,47.08967,50.32433,45.85833,""
